cost_id,airfare,other_transport,lodging,meals,other_expenses,total,ref_id
2110,1210.52,134.66,967.74,525.95,696.34,3535.21,110
2111,42.94,930.18,661.8,644.8,86.02,2365.74,111
2112,78.15,412.53,862.82,300.77,258.91,1913.18,112
2113,416.12,565.7,209.3,89.26,337.33,1617.71,113
2114,563.02,35.67,275.72,214.2,329.91,1418.52,114
2115,819.15,903.85,8.83,877.36,558.05,3167.24,115
2116,835.35,35.43,288.85,115.75,32.89,1308.27,116
2117,1072.9,72.15,546.78,338.66,753.11,2783.6,117
2118,828.27,73.44,888.93,249.55,359.16,2399.35,118
2119,664.15,193.63,471.44,133.95,918.77,2381.94,119
2120,970.87,26.23,288.85,115.75,461.28,1862.98,120
2121,1239.85,26.23,546.78,315.92,140.65,2269.43,121
2122,1048.12,26.23,165.83,143.65,588.66,1972.49,122
2123,1261.36,25.97,275.72,214.2,280.61,2057.86,123
2124,1547.79,51.94,888.93,295.5,998.13,3782.29,124
2125,2922.45,51.94,888.62,220,802.4,4885.41,125
2126,2987.73,90,1776.3,648.4,313.81,5816.24,126
2127,3046.5,25.97,713.41,248.65,462.44,4496.97,127
2128,424.82,25.97,165.83,132.9,440.24,1189.76,128
2129,316.24,730.08,599.5,27.41,845.6,2518.83,129
2130,516.69,11.66,174.02,205.3,566.33,1474,130
2131,345.92,11.66,1040.55,193.95,625.78,2217.86,131
2132,8524.86,11.66,3087.42,1030.03,468.02,13121.99,132
2133,977.92,147.5,102.81,113.83,698.31,2040.37,133
2134,6909.34,147.5,2962.94,1741.06,56.47,11817.31,134
2135,257.78,184.08,208.25,115.75,425.24,1191.1,135
2136,1835.19,453.12,3741.44,1507.56,721.8,8259.11,136
2137,462.77,453.12,208.25,115.75,652.59,1892.48,137
2138,1595.65,453.12,164.37,161.7,440.77,2815.61,138
2139,8487.99,423.6,3741.44,1341.15,163.82,14158,139
2140,1260.23,25.97,174,167.3,434.14,2061.64,140
2141,1601.04,25.97,154.34,89.9,957.65,2828.9,141
2142,1835.19,423.6,3741.44,1507.56,871.26,8379.05,142
2143,394.92,32.86,188.34,36.2,467.97,1120.29,143
2144,1063.1,32.86,154.34,119.95,213.22,1583.47,144
2145,1669.7,75.12,523.83,324.3,599.16,3192.11,145
2146,930.04,247.1,287.5,133.95,377.77,1976.36,146
2147,1024.32,32.67,164.37,161.7,30.58,1413.64,147
2148,408.55,117.77,124.3,64,129.45,844.07,148
2149,7196.26,380.95,2404.37,463.76,304.38,10749.72,149
2150,1149.72,380.95,612.94,189.6,876.85,3210.06,150
2151,2508.36,232.96,3870.19,894.2,963.91,8469.62,151
2152,975.19,690.2,655.92,513.25,802.22,3636.78,152
2153,1339.1,690.2,810.96,458.91,403.99,3703.16,153
2154,2231.2,690.2,812.17,432.5,143.16,4309.23,154
2155,3117.85,47,1261.58,485.3,533.23,5444.96,155
2156,913.98,47,312.74,203.7,600.18,2077.6,156
2157,1173.98,26.77,157.07,119.95,305.44,1783.21,157
2158,1909,26.77,158.92,119.95,346.16,2560.8,158
2159,1982.18,169.15,1145.15,576.31,277.53,4150.32,159
2160,1815.5,169.15,929.47,480.25,547.06,3941.43,160
2161,1666.09,123.46,628.71,473.65,927.23,3819.14,161
2162,1401.89,50.17,1002.55,390.11,935.26,3779.98,162
2163,489.6,87.07,1096.93,485.3,875.19,3034.09,163
2164,469.16,664.87,571.51,670.23,269.22,2644.99,164
2165,445.51,171.81,173.29,930.88,859.29,2580.78,165
2166,621.49,34.16,157.07,119.95,518.31,1450.98,166
2167,881.11,117.45,157.07,85.35,176.82,1417.8,167
2168,203.49,533.3,836.8,873.92,794.43,3241.94,168
2169,531.6,74.45,1096.93,485.3,111.39,2299.67,169
2170,804.23,232.96,293.14,215.33,668.8,2214.46,170
2171,3442.73,232.96,323.01,216.55,155.27,4370.52,171
2172,971.13,12.4,135.65,176.65,993.69,2289.52,172
2173,970.51,232.96,534.83,91.5,968.24,2798.04,173
2174,1661.58,232.96,196.65,156.05,889.66,3136.9,174
2175,1534.46,48.49,196.65,156.05,980.17,2915.82,175
2176,971.13,6.2,534.83,50.55,201.02,1763.73,176
2177,971.13,6.2,534.83,50.55,43.9,1606.61,177
2178,971.13,6.2,534.83,50.55,88.52,1651.23,178
2179,971.13,6.2,140.17,105.5,670.17,1893.17,179
2180,971.13,6.2,534.83,50.55,69.8,1632.51,180
2181,971.13,6.2,137.9,105.5,558.07,1778.8,181
2182,971.13,6.2,534.83,50.55,721.76,2284.47,182
2183,971.13,6.2,135.65,105.5,139.94,1358.42,183
2184,971.13,6.2,534.83,50.55,462.24,2024.95,184
2185,971.13,52.71,534.83,346.79,185.86,2091.32,185
2186,970.51,76.53,534.83,91.5,80.59,1753.96,186
2187,952.04,29.56,562.8,192.6,152.17,1889.17,187
2188,971.13,232.96,141.59,101.1,843.81,2290.59,188
2189,971.13,232.96,534.83,40.95,142.27,1922.14,189
2190,971.13,3.1,136.33,70.9,841.72,2023.18,190
2191,971.13,6.2,534.83,50.55,817.69,2380.4,191
2192,971.13,6.2,135.65,70.9,901.09,2084.97,192
2193,971.13,3.2,135.65,70.9,859.09,2039.97,193
2194,971.13,6.4,123.75,70.9,852.2,2024.38,194
2195,971.13,6.4,140.17,70.9,635.78,1824.38,195
2196,971.13,20,210.36,101.1,710.73,2013.32,196
2197,971.13,274.57,210.36,71.15,264.7,1791.91,197
2198,1606.53,232.96,738.13,294.85,942.54,3815.01,198
2199,975.07,232.96,562.8,192.6,672.06,2635.49,199
2200,1076.28,22.43,488.94,253.9,589.87,2431.42,200
2201,1426.16,232.96,275.56,93.76,590.17,2618.61,201
2202,870.4,88.28,559.29,253.9,592.75,2364.62,202
2203,1463.76,28.62,275.56,93.76,117.83,1979.53,203
2204,971.13,232.96,534.83,71.15,552.15,2362.22,204
2205,971.13,232.96,534.83,50.55,903.09,2692.56,205
2206,971.13,217.71,534.83,70.9,840.99,2635.56,206
2207,1267.97,75.81,610.68,244.3,703.57,2902.33,207
2208,971.13,54,141.59,101.1,748.02,2015.84,208
2209,1532.64,37.64,275.56,93.76,56.92,1996.52,209
2210,971.13,6.2,534.83,50.55,490.89,2053.6,210
2211,971.13,6.4,534.83,91.5,530.3,2134.16,211
2212,971.13,6.4,140.17,91.5,818.68,2027.88,212
2213,971.13,6.4,534.83,40.95,793.98,2347.29,213
2214,971.13,3.2,534.83,50.55,498,2057.71,214
2215,971.13,3.2,534.83,50.55,180.73,1740.44,215
2216,971.13,6.4,135.65,70.9,117.25,1301.33,216
2217,971.13,3.2,472.51,162.65,94.3,1703.79,217
2218,971.13,232.96,534.83,50.55,388.94,2178.41,218
2219,890.08,232.96,488.94,253.9,899.8,2765.68,219
2220,971.13,232.96,534.83,50.55,708.1,2497.57,220
2221,1307.52,20.57,610.68,244.3,231.06,2414.13,221
2222,971.13,6.4,534.83,50.55,785.18,2348.09,222
2223,971.13,6.4,534.83,71.15,112.01,1695.52,223
2224,971.13,6.4,534.83,20.35,290.09,1822.8,224
2225,971.13,6.4,534.83,50.55,215.75,1778.66,225
2226,2648.21,339.7,387.79,319.25,864.46,4559.41,226
2227,971.13,334.13,534.83,19.85,529.05,2388.99,227
2228,971.13,232.96,187.58,144.55,785.37,2321.59,228
2229,1840.91,268.53,352.14,163.65,118.2,2743.43,229
2230,1143.02,232.96,663.99,441.85,824.28,3306.1,230
2231,7161.52,232.96,371.54,735.5,357.1,8858.62,231
2232,971.13,232.96,185.64,156,402.01,1947.74,232
2233,1224.95,232.96,352.14,163.65,470.81,2444.51,233
2234,7161.52,57.24,371.54,781.5,698.83,9070.63,234
2235,971.13,238.02,534.83,40.6,532.76,2317.34,235
2236,971.13,289.75,195.16,217.1,486.78,2159.92,236
2237,799.96,140.33,314.41,285.05,81.82,1621.57,237
2238,764.71,232.96,534.83,70.75,764.83,2368.08,238
2239,971.13,73.67,534.83,346.79,658,2584.42,239
2240,958.08,87.24,534.83,91.25,625.01,2296.41,240
2241,2815.63,124,387.79,319.25,359.06,4005.73,241
2242,971.13,260.93,271.3,283.5,479.15,2266.01,242
2243,1840.91,27.3,352.14,163.65,486.75,2870.75,243
2244,971.13,270.01,534.83,20.1,757.89,2553.96,244
2245,1067.12,66.15,663.99,441.85,127.4,2366.51,245
2246,7161.52,232.96,930.1,1100.75,955.4,10380.73,246
2247,971.13,117.5,534.83,40.6,893.55,2557.61,247
2248,971.13,154.82,534.83,20.1,620.47,2301.35,248
2249,428.78,876.08,491.16,925.98,801.62,3523.62,249
2250,971.13,6.2,141.3,67.3,130.11,1316.04,250
2251,971.13,6.2,534.83,50,142.63,1704.79,251
2252,971.13,12.4,135.65,67.3,891.7,2078.18,252
2253,971.13,6.2,187.58,144.55,180.97,1490.43,253
2254,971.13,232.96,271.3,322.2,503.88,2301.47,254
2255,971.13,6.2,141.3,67.95,339.25,1525.83,255
2256,971.13,3.1,534.83,50.65,510.04,2069.75,256
2257,971.13,6.2,534.83,50.65,116.38,1679.19,257
2258,971.13,6.2,152.6,67.95,143.67,1341.55,258
2259,971.13,6.2,534.83,50.65,842.65,2405.46,259
2260,971.13,232.96,141.3,67.95,677.7,2091.04,260
2261,971.13,6.2,141.3,88.45,852.33,2059.41,261
2262,971.13,232.96,534.83,51.25,871.78,2661.95,262
2263,971.13,232.96,534.83,20.9,748.48,2508.3,263
2264,971.13,232.96,534.83,51.25,806.79,2596.96,264
2265,971.13,232.96,534.83,51.25,199.06,1989.23,265
